m_slr,m_ne,cross,error
100,14,0.0005672,1.036e-06
100,24,0.0005695,1.347e-06
100,66,0.0005677,1.419e-06
100,67,0.0005696,1.896e-06
100,83,0.0005686,1.731e-06
100,85,0.0005691,1.225e-06
100,97,0.0005687,1.658e-06
101,39,0.0005516,1.286e-06
101,42,0.0005506,1.281e-06
101,56,0.0005513,1.232e-06
101,72,0.0005506,1.083e-06
101,78,0.0005516,1.468e-06
101,91,0.0005498,1.447e-06
102,12,0.000533,9.758e-07
102,3,7.431e-05,2.781e-07
102,30,0.000536,1.014e-06
102,57,0.0005339,9.439e-07
102,74,0.0005334,1.339e-06
102,77,0.0005345,1.913e-06
102,88,0.0005327,1.304e-06
102,93,0.0005335,1.003e-06
103,13,0.0005167,1.008e-06
103,5,1.143e-05,2.733e-08
103,60,0.0005142,1.592e-06
103,75,0.0005187,1.088e-06
103,82,0.0005188,1.247e-06
103,84,0.0005173,1.17e-06
104,10,0.0005012,1.23e-06
104,23,0.0005013,1.011e-06
104,29,0.0005006,1.657e-06
104,51,0.0005022,1.246e-06
104,55,0.0005021,1.236e-06
105,13,0.0004868,1.027e-06
105,15,0.0004877,8.811e-07
105,60,0.0004873,1.312e-06
105,7,0.0004852,1.083e-06
105,76,0.0004875,1.048e-06
105,82,0.0004863,1.555e-06
105,87,0.0004878,1.089e-06
105,92,0.0004865,1.344e-06
106,13,0.000473,1.147e-06
106,16,0.0004717,1.778e-06
106,23,0.0004728,1.084e-06
106,28,0.0004728,9.058e-07
106,37,0.0004738,9.82e-07
106,70,0.0004734,1.106e-06
106,83,0.0004726,1.379e-06
106,92,0.0004724,1.24e-06
107,10,0.0004584,1.255e-06
107,105,0.0004578,8.871e-07
107,22,0.0004574,1.742e-06
107,35,0.0004585,1.671e-06
107,4,0.0004582,9.509e-07
107,43,0.0004589,1.019e-06
107,55,0.0004581,1.557e-06
107,85,0.0004584,1.092e-06
107,98,0.0004587,9.302e-07
108,104,0.000445,1.011e-06
108,15,0.0004446,1.357e-06
108,28,0.0004461,8.997e-07
108,37,0.0004457,9.368e-07
108,64,0.0004456,1.763e-06
108,79,0.000446,1.078e-06
108,85,0.000444,1.382e-06
108,87,0.0004461,9.062e-07
108,88,0.0004462,1.472e-06
109,108,0.0004337,8.443e-07
109,12,0.0004332,2.084e-06
109,13,0.0004317,8.077e-07
109,16,0.0004328,1.161e-06
109,23,0.0004328,9.045e-07
109,40,0.0004337,1.255e-06
109,67,0.0004322,7.812e-07
109,72,0.0004326,9.879e-07
109,87,0.0004314,1.658e-06
110,20,0.0004211,9.003e-07
110,33,0.0004192,1.439e-06
110,50,0.0004187,9.127e-07
110,60,0.0004193,9.214e-07
110,66,0.0004208,1.582e-06
110,98,0.0004191,1.218e-06
111,108,0.0004077,7.24e-07
111,30,0.0004091,1.073e-06
111,4,0.0004073,9.633e-07
111,75,0.0004092,7.49e-07
111,85,0.0004098,7.59e-07
111,9,0.0004069,1.184e-06
112,104,0.000396,1.284e-06
112,109,0.0003946,1.616e-06
112,112,1.149e-09,3.726e-12
112,28,0.0003965,1.389e-06
112,67,0.0003972,1.484e-06
112,78,0.000396,8.913e-07
112,90,0.000396,3.177e-07
112,92,0.0003965,1.127e-06
113,14,0.0003844,7.476e-07
113,54,0.0003851,1.734e-06
113,60,0.000385,9.182e-07
113,70,0.0003848,1.472e-06
113,76,0.000384,7.884e-07
114,100,0.0003731,1.36e-06
114,110,0.0003742,1.175e-06
114,2,0.0003747,7.497e-07
114,37,0.0003739,1.748e-06
114,57,0.0003749,1.113e-06
114,61,0.0003739,1.072e-06
114,69,0.0003736,1.481e-06
115,104,0.000364,7.995e-07
115,106,0.0003638,9.193e-07
115,109,0.0003636,1.044e-06
115,14,0.0003621,1.01e-06
115,19,0.0003631,8.244e-07
115,34,0.000363,8.895e-07
115,74,0.0003642,8.798e-07
115,80,0.000364,5.976e-07
115,99,0.0003643,9.218e-07
116,100,0.0003544,9.511e-07
116,40,0.0003545,1.052e-06
116,51,0.0003541,1.072e-06
116,57,0.0003525,1.248e-06
116,60,0.0003535,5.773e-07
116,8,0.0003543,5.523e-07
117,107,0.0003423,1.292e-06
117,18,0.0003435,9.172e-07
117,19,0.0003437,7.581e-07
117,23,0.0003439,1.182e-06
117,4,0.0003435,7.787e-07
117,41,0.0003437,7.454e-07
117,60,0.0003447,1.318e-06
117,64,0.0003438,7.748e-07
117,78,0.0003442,7.715e-07
117,82,0.0003423,1.3e-06
118,10,0.000335,6.229e-07
118,11,0.0003358,5.689e-07
118,18,0.0003347,1.19e-06
118,33,0.0003351,8.289e-07
118,62,0.0003339,9.834e-07
118,89,0.0003339,8.826e-07
119,104,0.000325,6.628e-07
119,105,0.0003258,6.314e-07
119,118,0.0003261,1.301e-06
119,36,0.000325,9.518e-07
119,54,0.0003234,1.252e-06
119,57,0.0003258,1.038e-06
119,67,0.0003256,9.739e-07
120,1,0.0003175,8.589e-07
120,49,0.0003164,9.284e-07
120,51,0.0003162,1.433e-06
120,63,0.0003165,9.647e-07
120,64,0.0003166,7.302e-07
120,66,0.0003166,5.862e-07
120,68,0.0003168,1.264e-06
120,70,0.0003158,1.592e-06
120,74,0.0003168,1.479e-06
120,79,0.0003175,8.68e-07
120,9,0.0003172,1.05e-06
120,99,0.0003153,9.874e-07
121,100,0.00031,1.688e-06
121,103,0.0003084,6.938e-07
121,12,0.0003078,9.687e-07
121,55,0.0003075,9.667e-07
121,87,0.0003101,9.051e-07
121,9,0.0003079,9.82e-07
122,10,0.0002995,1.174e-06
122,27,0.0003012,5.436e-07
122,3,0.0002993,1.21e-06
122,57,0.0002991,1.09e-06
123,17,0.0002931,1.12e-06
123,32,0.0002932,5.997e-07
123,35,0.0002927,9.941e-07
123,42,0.0002925,1.099e-06
123,43,0.0002928,6.774e-07
123,65,0.0002926,1.285e-06
123,70,0.0002902,1.33e-06
123,98,0.0002924,8.654e-07
124,103,0.0002843,1.137e-06
124,105,0.0002837,8.223e-07
124,113,0.0002855,9.375e-07
124,22,0.0002848,8.546e-07
124,35,0.0002852,9.566e-07
124,60,0.0002844,1.376e-06
124,66,0.0002844,1.333e-06
125,104,0.0002783,1.24e-06
125,106,0.0002782,1.133e-06
125,115,0.0002773,6.089e-07
125,123,0.0002785,1.086e-06
125,33,0.0002769,1.032e-06
125,70,0.0002762,1.087e-06
125,71,0.0002775,1.145e-06
125,81,0.0002759,9.491e-07
126,110,0.00027,1.438e-06
126,113,0.0002689,9.139e-07
126,12,0.0002702,6.763e-07
126,126,7.58e-10,2.234e-12
126,13,0.0002709,6.765e-07
126,17,0.0002694,6.069e-07
126,22,0.0002697,7.201e-07
126,75,0.0002701,1.019e-06
126,9,0.0002693,7.489e-07
126,96,0.0002694,1.16e-06
126,99,0.0002697,1.171e-06
127,101,0.0002636,9.071e-07
127,19,0.0002634,1.153e-06
127,74,0.0002643,1.014e-06
127,87,0.0002627,1.292e-06
128,10,0.0002572,8.784e-07
128,12,0.0002566,6.282e-07
128,13,0.0002571,8.242e-07
128,18,0.000257,8.156e-07
128,3,0.0002561,5.932e-07
128,44,0.0002558,9.403e-07
128,46,0.0002574,6.555e-07
128,5,0.0002571,5.201e-07
128,6,0.0002565,9.219e-07
128,75,0.0002562,9.321e-07
129,104,0.0002496,7.041e-07
129,114,0.0002499,7.661e-07
129,23,0.0002493,5.775e-07
129,36,0.0002489,1.322e-06
129,45,0.00025,6.516e-07
129,48,0.0002499,9.043e-07
129,50,0.0002508,1.301e-06
129,6,0.0002509,7.275e-07
129,66,0.0002501,7.796e-07
129,92,0.0002495,6.73e-07
130,103,0.0002448,8.937e-07
130,114,0.0002445,9.297e-07
130,118,0.0002439,9.847e-07
130,129,0.0002436,8.547e-07
130,37,0.0002442,9.865e-07
130,42,0.0002443,1.166e-06
130,54,0.0002448,7.272e-07
130,7,0.0002434,1.226e-06
130,77,0.000244,1.034e-06
130,81,0.0002445,1.076e-06
130,85,0.0002435,7.082e-07
131,108,0.0002383,8.949e-07
131,111,0.000238,5.102e-07
131,117,0.0002381,7.658e-07
131,21,0.0002378,6.415e-07
131,22,0.0002387,9.485e-07
131,39,0.0002369,5.974e-07
131,6,0.0002375,1.013e-06
131,63,0.0002383,9.188e-07
131,87,0.0002362,7.432e-07
131,98,0.000239,8.733e-07
132,107,0.0002322,4.316e-07
132,111,0.0002318,5.954e-07
132,119,0.0002311,9.579e-07
132,127,0.0002307,8.404e-07
132,35,0.0002323,8.206e-07
132,37,0.0002322,7.183e-07
132,65,0.0002324,7.477e-07
133,13,0.0002262,7.153e-07
133,21,0.0002272,8.674e-07
133,26,0.0002264,6.177e-07
133,29,0.0002259,7.577e-07
133,35,0.000226,6.165e-07
133,4,0.0002263,6.164e-07
133,50,0.0002273,6.039e-07
133,66,0.0002261,7.81e-07
133,72,0.0002256,8.59e-07
133,73,0.0002261,8.868e-07
133,80,0.0002264,6.86e-07
133,86,0.0002276,4.848e-07
133,96,0.0002261,7.872e-07
134,100,0.0002208,8.129e-07
134,119,0.0002197,6.78e-07
134,13,0.0002198,9.833e-07
134,131,0.0002209,9.069e-07
134,133,0.0002215,7.863e-07
134,24,0.0002204,6.654e-07
134,30,0.0002207,7.569e-07
134,31,0.0002216,8.819e-07
134,5,0.0002214,9.775e-07
134,6,0.0002209,7.177e-07
134,74,0.0002209,6.88e-07
135,120,0.0002153,6.088e-07
135,122,0.000216,8.442e-07
135,15,0.0002148,8.143e-07
135,28,0.0002157,7.516e-07
135,46,0.0002157,6.851e-07
135,65,0.0002156,7.206e-07
135,68,0.0002158,9.06e-07
135,69,0.0002153,1.056e-06
135,92,0.0002151,6.732e-07
136,100,0.0002102,6.861e-07
136,119,0.0002102,7.217e-07
136,121,0.0002109,8.913e-07
136,13,0.0002104,5.68e-07
136,135,0.0002099,7.223e-07
136,36,0.0002091,9.606e-07
136,39,0.0002097,1.034e-06
136,8,0.0002104,8.82e-07
136,81,0.0002109,5.262e-07
136,99,0.0002103,3.092e-07
137,109,0.0002062,6.45e-07
137,111,0.0002047,7.561e-07
137,112,0.0002054,6.358e-07
137,117,0.0002049,6.763e-07
137,13,0.000206,6.685e-07
137,3,0.0002056,6.124e-07
137,34,0.0002048,7.987e-07
137,36,0.0002061,7.055e-07
137,4,0.000205,6.578e-07
137,51,0.0002055,6.366e-07
137,61,0.0002056,1.085e-06
137,68,0.0002046,7.043e-07
137,84,0.0002063,8.399e-07
138,100,0.0002001,8.026e-07
138,102,0.0001999,9.914e-07
138,113,0.0002004,9.864e-07
138,16,0.0002002,8.721e-07
138,2,0.0002004,8.365e-07
138,22,0.0001999,8.529e-07
138,43,0.0002002,6.315e-07
138,56,0.0001998,5.744e-07
138,60,0.0001996,6.881e-07
138,65,0.0002011,7.268e-07
138,68,0.0002015,6.465e-07
138,70,0.0001997,7.715e-07
138,93,0.0002001,8.63e-07
138,97,0.0002009,5.506e-07
139,10,0.0001954,8.403e-07
139,106,0.0001946,8.726e-07
139,125,0.0001959,5.861e-07
139,3,0.0001957,7.418e-07
139,33,0.0001962,9.124e-07
139,60,0.0001956,5.316e-07
139,64,0.0001961,7.656e-07
139,66,0.0001947,5.388e-07
139,77,0.0001953,6.26e-07
139,79,0.0001948,6.427e-07
139,92,0.0001951,6.585e-07
139,93,0.000195,7.431e-07
140,10,0.0001908,7.483e-07
140,119,0.0001914,8.435e-07
140,121,0.0001912,6.964e-07
140,129,0.0001915,6.331e-07
140,29,0.000191,7.98e-07
140,67,0.0001899,6.04e-07
140,68,0.000191,3.585e-07
140,71,0.0001909,9.493e-07
140,78,7.192e-06,2.416e-08
140,83,0.0001913,5.276e-07
140,99,0.0001913,2.926e-07
141,124,0.0001865,8.27e-07
141,16,0.0001869,5.412e-07
141,42,0.0001863,5.836e-07
141,61,0.0001871,5.656e-07
141,9,0.0001857,7.048e-07
142,11,0.0001819,6.802e-07
142,130,0.0001814,9.211e-07
142,138,0.0001824,5.753e-07
142,17,0.0001822,4.487e-07
142,19,0.0001824,7.864e-07
142,20,0.0001816,7.737e-07
142,42,0.0001826,5.579e-07
142,45,0.0001813,7.947e-07
142,93,0.0001816,6.135e-07
142,98,0.0001815,8.201e-07
143,116,0.0001769,6.713e-07
143,23,0.0001767,6.696e-07
143,25,0.0001782,5.369e-07
143,5,0.0001779,6.197e-07
143,51,0.0001777,6.582e-07
144,105,0.000173,5.427e-07
144,132,0.0001745,7.072e-07
144,133,0.0001739,6.152e-07
144,40,0.0001743,3.853e-07
144,50,0.0001739,5.044e-07
144,66,0.0001745,6.942e-07
144,74,0.0001742,5.166e-07
