m_slr,m_ne,cross,error
100,10,0.008759,1.434e-05
100,11,0.008764,1.459e-05
100,16,0.008738,1.36e-05
100,20,0.008743,1.416e-05
100,30,0.00876,1.536e-05
100,33,0.008753,1.261e-05
100,40,0.008732,1.22e-05
100,42,0.008733,1.411e-05
100,50,0.008765,1.312e-05
100,60,0.008748,1.299e-05
100,64,0.008762,1.246e-05
100,70,0.008737,1.279e-05
100,80,0.00874,1.236e-05
100,83,0.008762,1.435e-05
100,87,0.008749,1.318e-05
100,90,0.008743,1.35e-05
101,54,0.008525,1.25e-05
101,56,0.008514,1.4e-05
101,81,0.008518,1.375e-05
101,93,0.008521,1.146e-05
102,66,0.008313,1.002e-05
102,67,0.008322,1.372e-05
102,78,0.008293,1.275e-05
104,102,0.007897,1.387e-05
104,103,0.007898,1.221e-05
104,23,0.007909,1.133e-05
105,14,0.007684,1.284e-05
105,20,0.007703,1.2e-05
105,25,0.007714,1.181e-05
105,63,0.007698,1.182e-05
105,76,0.007691,1.04e-05
105,93,0.007686,1.245e-05
106,106,3.261e-08,9.55e-11
106,71,0.007514,1.088e-05
107,33,0.007326,1.103e-05
107,35,0.007333,1.301e-05
108,14,0.007156,1.256e-05
108,26,0.007163,1.081e-05
108,49,0.007147,1.161e-05
108,71,0.007145,1.069e-05
108,82,0.007147,1.216e-05
109,108,0.00697,9.546e-06
109,44,0.006963,8.926e-06
109,87,0.006986,1.249e-05
109,97,0.006976,9.691e-06
110,10,0.006816,1.173e-05
110,100,0.006806,1.124e-05
110,39,0.006801,1.125e-05
110,40,0.0004599,6.745e-07
110,50,0.006803,1.079e-05
110,60,0.006795,1.085e-05
110,70,0.006809,1.008e-05
110,90,0.006791,9.362e-06
110,91,0.006809,1.162e-05
110,96,0.00681,1.138e-05
110,98,0.006801,9.675e-06
111,15,0.006669,1.025e-05
111,16,0.006654,9.567e-06
111,25,0.006658,8.851e-06
111,31,0.006636,8.76e-06
112,101,0.006501,8.801e-06
112,14,0.0065,1.181e-05
112,26,0.006498,1.005e-05
112,76,0.006509,9.426e-06
112,81,0.00649,1.01e-05
112,90,0.006478,9.957e-06
113,100,0.006347,8.701e-06
113,109,0.006323,1.052e-05
113,11,0.00632,9.416e-06
113,32,0.006342,1.146e-05
113,47,0.006342,9.369e-06
113,59,0.006327,1.079e-05
113,66,0.006352,9.576e-06
114,106,0.006181,9.368e-06
114,72,0.006198,8.427e-06
115,115,2.574e-08,7.94e-11
115,44,0.006055,8.831e-06
115,78,0.006044,8.748e-06
115,81,0.006055,8.621e-06
115,83,0.006037,1e-05
116,10,0.005921,9.683e-06
116,107,0.005913,8.871e-06
116,67,0.005912,7.488e-06
117,108,0.005771,7.992e-06
117,33,0.005793,8.775e-06
117,75,0.005781,9.221e-06
117,99,0.005771,8.308e-06
118,109,0.005656,7.034e-06
118,58,0.005652,8.772e-06
119,104,0.005524,8.105e-06
119,43,0.005524,7.793e-06
119,62,0.005535,8.946e-06
120,10,0.005416,8.88e-06
120,100,0.005399,7.344e-06
120,117,0.005409,8.238e-06
120,20,0.005404,8.449e-06
120,30,0.005405,7.717e-06
120,40,0.005412,7.86e-06
120,50,0.005405,8.141e-06
120,53,0.005403,7.091e-06
120,56,0.005411,8.386e-06
120,60,0.005408,7.962e-06
120,61,0.005395,8.228e-06
120,70,0.005392,7.451e-06
120,80,0.005404,7.864e-06
120,90,0.005399,7.738e-06
121,100,0.005277,8.367e-06
121,101,0.005286,7.743e-06
121,109,0.005284,7.093e-06
121,118,0.005273,7.099e-06
121,16,0.005281,7.659e-06
121,23,0.005287,8.312e-06
121,50,0.00528,8.696e-06
121,90,0.005284,6.366e-06
122,103,0.005166,9.117e-06
122,16,0.005175,8.979e-06
122,53,0.005162,8.303e-06
122,72,0.005187,7.745e-06
123,40,0.005055,8.173e-06
123,70,0.005049,8.23e-06
124,13,9.063e-05,1.456e-07
124,45,0.004957,7.645e-06
124,69,0.004951,7.005e-06
124,75,0.00496,7.904e-06
125,119,0.004835,7.155e-06
125,16,0.004829,6.742e-06
125,77,0.00484,6.96e-06
126,13,0.004742,5.576e-06
126,68,0.004745,8.419e-06
126,84,0.004741,7.198e-06
126,92,0.004741,6.603e-06
126,93,0.004736,7.24e-06
127,120,0.004636,6.837e-06
127,18,0.004645,7.201e-06
127,30,0.004653,6.971e-06
127,36,0.0001733,2.307e-07
127,56,0.004644,6.751e-06
128,102,0.004537,6.828e-06
128,21,0.004559,6.821e-06
129,103,0.02254,3.593e-05
129,32,0.004456,5.766e-06
129,45,0.00446,6.415e-06
130,10,0.004358,8.673e-06
130,105,0.004365,7.256e-06
130,20,0.004362,5.964e-06
130,23,0.004355,6.244e-06
130,30,0.004363,5.851e-06
130,40,0.004358,7.352e-06
130,50,0.004357,6.498e-06
130,60,0.004362,6.374e-06
130,70,0.004358,6.979e-06
130,71,0.004354,5.853e-06
130,80,0.004355,6.861e-06
130,90,0.004348,6.687e-06
130,91,0.004357,7.242e-06
131,13,0.004266,6.29e-06
131,47,0.004274,6.682e-06
131,78,0.004267,6.109e-06
131,79,0.00427,6.105e-06
131,96,0.004268,6.805e-06
132,48,0.004178,6.006e-06
132,82,0.004182,5.988e-06
133,119,0.004106,5.651e-06
133,32,0.004107,6.684e-06
133,69,0.004099,7.154e-06
134,14,0.004015,5.932e-06
134,21,0.004023,5.692e-06
134,33,0.004024,6.262e-06
134,39,0.004014,6.386e-06
134,53,0.004013,5.194e-06
134,78,0.004008,5.247e-06
134,80,0.00401,5.673e-06
134,97,0.0001104,1.618e-07
135,121,0.003928,6.06e-06
135,130,0.003935,5.373e-06
135,19,0.003943,5.306e-06
135,21,0.003936,5.816e-06
135,37,0.003944,5.471e-06
135,54,0.00393,5.706e-06
135,55,0.003936,5.858e-06
135,66,0.00393,6.284e-06
135,70,0.003926,5.957e-06
135,77,0.003935,5.691e-06
135,79,0.003938,6.248e-06
135,93,0.003928,5.54e-06
136,106,0.003857,5.997e-06
136,11,0.003855,5.89e-06
136,30,0.003858,5.905e-06
136,31,0.003852,6.013e-06
136,56,0.003868,4.909e-06
136,59,0.003858,6.051e-06
136,62,0.003854,5.21e-06
136,75,0.003855,5.812e-06
137,134,0.003774,5.667e-06
137,26,0.003785,5.274e-06
137,44,0.00378,4.905e-06
137,98,0.003779,5.641e-06
139,102,0.003636,5.496e-06
139,37,0.003626,5.693e-06
139,82,0.003639,5.203e-06
139,89,0.00363,6.644e-06
